greeting,now,fire1,notice1,noticeLaw,notice2,infoOpen1,infoOpenLaw,infoOpen2,infoOpen3,fixLaw,macro1,macro2,macro3,ending
귀 부처의 무궁한 발전을 기원합니다.,해당 문화컨텐츠는 각 유통사에서 15세 미만 이용불가로 등록되어 있으나 게임물관리위원회의 재심사 및 등급상향(청소년 이용불가) 조정 처분을 받았습니다.,"위 게임은 게임물관리위원회 등급분류규정 제 8조(선정성 기준)3. 15세이용가: 선정적 내용이 있지만, 간접적이고 제한된 경우4. 청소년이용불가: 선정적 내용이 표현되어 있으나 사회질서를 문란하게 할 정도는 아닌 경우라고 쓰여있고 해당 게임은 가슴과 둔부가 묘사되나 이에 대한 표현은 선정적이지 않으며, 통념적인 성 관념을 위배한다고 볼 수 있는 내용은 존재하지 않는다고 생각합니다. 그렇기에 게임물관리위원회 등급분류규정 8조 4번 청소년 이용불가에 적용되기에는 다소 무리가 있습니다.",또 다른 건으로는 지난 2022년 9월 22일에 개정된 게임물관리위원회의 등급분류 규정인 제34조 등급분류 결정통보에는 이렇게 적혀있습니다.,"① 위원회는 이용등급을 결정한 게임물에 대해 별지 제10호의 등급분류증명서를 신고인에게 교부하여야 한다. <개정 2022.9.22.>
② 위원회는 등급분류 결정 통보 시 해당 신청자에게 결정근거와 결정사유 및 게임물 내용정보가 명시된 별지 제11호의 등급분류결정서를 교부하여야 한다. <개정 2022.9.22.>",,,,이에 본 민원인은 게임물 관리 위원회의 2022년 1월 1일 ~ 금일까지의 회의록을 모두 공개하여주시기를 요청합니다.,"회의록을 공개처리하지 못 할 경우, 그러한 이유가 무엇인지 자세한 설명 부탁드립니다.",,,"국민이 생각하는, 똑바른 공무원 상이 무엇이라고 생각합니까?",혹시 위의 문의에 답을 못단다면 사유를 자세히 적어주시길 바랍니다.,저도 민원을 쓰는건 드문 일이라 맥락과 문맥이 다소 맞지 않을 수 있습니다.
,현 게임물관리위원회는 여러 게임물에 대해 기존의 이용등급 결정을 번복하고 새로운 이용등급을 지정하였습니다.,"이 게임은 게임물관리위원회 등급분류규정 제 8조(선정성 기준)3. 15세이용가: 선정적 내용이 있지만, 간접적이고 제한된 경우4. 청소년이용불가: 선정적 내용이 표현되어 있으나 사회질서를 문란하게 할 정도는 아닌 경우라고 쓰여있고 해당 게임은 가슴과 둔부가 묘사되나 이에 대한 표현은 선정적이지 않으며, 직접적인 성행위, 유사성행위 및 이를 종용하는 내용이 포함되어있지 않습니다. 이는 명백히 게임물관리위원회 등급분류규정 8조 3번 15세 이용가에 해당되는 내용입니다.",다른 건으로는 지난 2022년 9월 22일에 개정된 게임물관리위원회의 등급분류 규정인 제34조 등급분류 결정통보에는 이렇게 쓰여있습니다.,① 위원회는 이용등급을 결정한 게임물에 대해 별지 제10호의 등급분류증명서를 신고인에게 교부하여야 한다.,,,,본 민원인은 등급분류 회의록의 사본 또는 열람(기간은 2021년 1월 1일 ~ 2021년 12월 31일 까지) 을 강력히 요청합니다.,"회의록이 비공개,부분공개,정보의 비존재 등으로 처리되는 이유가 있을경우 그 이유를 자세하게 설명해주길 바랍니다.",,,공무원의 6대 의무가 무엇입니까?,,전문종사자가 아니기에 발췌한 법령 해석에 다소의 오류가 있었다면 감안 부탁드립니다.
,"게임물관리위원회의 이번 결정은 본 민원인이 보기에 권력 남용이라고 봅니다.서비스중인 게임에 대한 심의등급 재심사는 신중하고 합리적으로 진행되어야 하는 것이지, 이렇게 번개불에 콩 볶아 먹듯 진행되야 하는게 아닙니다.","이 게임은 게임물관리위원회 등급분류규정 제 8조(선정성 기준)3. 15세이용가: 선정적 내용이 있지만, 간접적이고 제한된 경우4. 청소년이용불가: 선정적 내용이 표현되어 있으나 사회질서를 문란하게 할 정도는 아닌 경우라고 쓰여있고 해당 게임은 가슴과 둔부가 묘사되나 이에 대한 표현은 선정적이지 않으며, 성 윤리에 위배되는 컨텐츠라 보기 어렵습니다. 그러므로 게임물관리위원회 등급분류규정 8조 3번 15세 이용가에 해당되는 내용이라고 생각합니다.",다른 건으로는 지난 2022년 9월 22일에 개정된 게임물관리위원회의 등급분류 규정인 제34조 등급분류 결정통보에는 이렇게 규정되어있습니다.,② 위원회는 등급분류 결정 통보 시 해당 신청자에게 결정근거와 결정사유 및 게임물 내용정보가 명시된 별지 제11호의 등급분류결정서를 교부하여야 한다.,,,,민원인은 등급분류 회의록의 사본 또는 열람(2020년 1월 1일 ~ 2020년 12월 31일 까지) 정보공개를 청구합니다.,혹시 회의록의 전체공개가 이루어지지 못한다면 이에 대한 처리의 법령과 사유를 상세히 적어주시면 감사하겠습니다.,,,귀 부처에서 가장 중요한 공직가치가 무엇이라고 생각합니까?,,다소 가독성 및 오탈자에 양해 부탁드립니다.
,게임물관리위원회는 왜 서비스 초기나 게임물 업데이트 당시에 심의등급 상향 조치를 취하지 않고 7개라는 소수의 민원글만 보고 몇 달 동안 모니터링한 사항이라고 하면서 심의등급 조정을 진행하려고 하는지 이해가 가지 않습니다.,"이 게임은 게임물관리위원회 등급분류규정 제 8조(선정성 기준)3. 15세이용가: 선정적 내용이 있지만, 간접적이고 제한된 경우4. 청소년이용불가: 선정적 내용이 표현되어 있으나 사회질서를 문란하게 할 정도는 아닌 경우라고 쓰여있고 해당 게임은 가슴과 둔부가 묘사되나 이에 대한 표현은 선정적이지 않으며, 통념적인 성 관념을 위배한다고 볼 수 있는 내용은 존재하지 않는다고 생각합니다. 그렇기에 게임물관리위원회 등급분류규정 8조 4번 청소년 이용불가에 적용되기에는 다소 무리가 있습니다.",그리고 게임물관리위원제 등급분류규정 제34조 등급분류 결정 통보에 따르면 이렇게 규정되어있습니다.,"① 위원회는 이용등급을 결정한 게임물에 대해 별지 제10호의 등급분류증명서를 신고인에게 교부하여야 한다.
② 위원회는 등급분류 결정 통보 시 해당 신청자에게 결정근거와 결정사유 및 게임물 내용정보가 명시된 별지 제11호의 등급분류결정서를 교부하여야 한다.",,,,또한 선정성으로 인한 등급 변경을 굳이 게이머에게 제대로 고지도 안한 채 빠르게 변경이 된 이유가 현재 항간에 떠도는 소문같이 보복성으로 이루어진것이 맞는지 궁금합니다.,,,,태극기의 사괘의 의미가 무엇인지 아십니까?,,"띄어쓰기,가독성,맞춤법 부분에 대해서는 양해 부탁드립니다."
,,"이 게임은 게임물관리위원회 등급분류규정 제 8조(선정성 기준)3. 15세이용가: 선정적 내용이 있지만, 간접적이고 제한된 경우4. 청소년이용불가: 선정적 내용이 표현되어 있으나 사회질서를 문란하게 할 정도는 아닌 경우라고 쓰여있고 해당 게임은 가슴과 둔부가 묘사되나 이에 대한 표현은 선정적이지 않으며, 선정적인 행위를 하도록 유도하거나 구체적이고 직접적으로 조작할 수 있는 일반적인 사회윤리에 어긋나는 컨텐츠에 비견되기는 어렵기에 게임물관리위원회 등급분류규정 8조 4번 청소년 이용불가라는 규제는 이해하기 힘듭니다.",그리고 게임물관리위원제 등급분류규정 제34조 등급분류 결정 통보에 따르면,,,,,블루아카이브의 행정처리와 관련된 2022년 회의록들에 대한 정보공개를 강력하게 요구합니다.,,,,위의 민원에 해당 민원 답변자의 의견은 어떻게 되십니까?,,본 민원의 공정한 판단을 바라며 이만 글 줄이겠습니다.
,,"해당 게임[블루아카이브]에서는 '게임물관리위원회 등급분류규정'에 의거, 등급분류규정 8조 4번 선정성으로 인한 청소년 이용불가 등급에 부합되지 않습니다.",그리고 게임물관리위원제 등급분류규정 제34조 등급분류 결정 통보에는 이렇게 적혀있습니다.,,,,,게임관리위원회의 2019년 1월 1일 ~2019년 12월 31일 까지 의 해당 회의록들 전체를 공개하는것을 요청하는 바입니다.,,,,위 민원에 대해 답변자의 의견은 어떻게 되는지 궁금합니다.,,"이에 본 민원인은, 귀 게임물관리위원회의 이번 일련의 게임물 이용등급 재조정 조치를 철회함이 좋겠다고 생각합니다. 신속한 민원처리 부탁드립니다."
,,"해당 게임 <블루아카이브> 은 성행위 및 유사성행위를 이유로 등급상향 처분을 받았으나,'게임물관리위원회 등급분류규정'에 의거한 등급분류규정 8조 4번 선정성으로 인한 청소년 이용불가 등급에 부합되지 아니하며하나의 문화예술중 하나인 블루아카이브와 와이푸같은 다른 일반적인 청소년 이용불가급 음란물 게임과는 비교조차 될 수 없다고 생각합니다.",그리고 게임물관리위원제 등급분류규정 제34조 등급분류 결정 통보에 따르면 이렇게 쓰여있습니다.,,,,,현재 기재되어있는 2018년 1월 1일 부터 2018년 12월 31일 까지의 등급분류 회의록들을 모두 투명히 공개하도록 하여 공지해주실것을 요청합니다.,,,,현재 대한민국의 국화이자 애국가의 후렴구에 나오는 꽃의 이름은 무엇입니까?,,긴 글 읽어주셔서 감사합니다. 이에 결정 번복과 향후 유사사례 발생 방지를 위한 대책 마련을 공지해주시길 바랍니다.
,,"하지만 해당 게임 (블루아카이브) 은 게임물관리위원회 등급분류규정 개정안 8조 선전성 기준 4-가 에 해당되는성기 등이 완전노출된 것은 아니지만, 선정적인 신체노출이 표현되어 있는 경우해당 경우에 해당하지 않으며 게임 내에서 고등학생으로 소개된 학생들을 대상으로 부적절한 모습 및 왜곡된 성관념을 심어줄 수 있는 장면도 포함하고 있지 않습니다.",이러한 민원을 적는 이유중 하나인 게임물 관리 위원회 등급분류 규정에 제 34조 등급분류 결정통보에는 이렇게 적혀있습니다.,,,,,이에 게임관리위원회의 2022년도 1월 1일 부터 민원 접수 당일까지의 회의록 공개를 강력하게 청구합니다.,,,,"이러한 사태의 재발 방지 대책은 어떻게 되는지, 그리고 이번사태를 어떻게 처리할 것인지 다시한번 문의드립니다.",,저도 글을 잘 쓰는 편은 아니라 문맥이 이상한 점은 양해 부탁드립니다.
,,"또한 '블루아카이브' 이러한 게임은 게임관리위원회 등급분류규정 청소년 이용 불가등급 기준 가 항의 경우 선정성에 관한 법원 판례 대법원 2013. 11. 14., 선고, 2011두11266 에 따르면'선정성 측면에서 청소년 이용불가의 등급분류기준을 충족하는지 여부는 해당 영화를 전체적으로 관찰하여 신체 노출 및 성적 행위의 표현 정도뿐만 아니라그 영상의 구성 및 음향의 전달방식, 영화주제와의 관련성, 영화 전체에서 성적 표현이 차지하는 비중 및 그 영화의 예술적·교육적가치 등을 종합적으로 고려하되, 제작자의 주관적인 의도가 아니라 사회의 일반적인 통념에 따라 객관적이고 규범적으로 평가한다' 라고 되어 있습니다.",이러한 민원을 적게 결심한 이유중 하나인 게임물 관리 위원회 등급분류 규정에 제 34조 등급분류 결정통보에는 이렇게 쓰여있습니다.,,,,,해당 이미 심의되어진 해당 게임이 15세 이용가에서 등급상향이 이루어졌는데 이와 관련된 게임관리위원회의 2022년도의 회의록에 대한 정보공개를 부탁합니다.,,,,선정성으로 인해 등급이 상향되었는데 선정성에 대한 내부의 주관적이고 확실한 기준이 무엇이며 어떠한 명목으로 처리되었는지 궁금합니다. 꼭 답변 부탁드립니다.,,민원은 정당한 국민의 권리입니다. 성심성의껏 처리해주시길 부탁합니다.
,,,이러한 민원을 적는 이유중 하나인 게임물 관리 위원회 등급분류 규정에 제 34조 등급분류 결정통보에는 이렇게 규정돼있습니다.,,,,,게임관리위원회의 2017년도 1월 1일 ~ 2017년도 12월 31일까지의 회의록 정보공개를 강력하게 요청합니다.,,,,대한민국 동쪽 바다의 이름은 무엇인지 답변 해주세요.,,민원 처리의 공명정대한 일처리를 부탁드리겠습니다.
,,,이러한 민원을 적는 이유중 하나인 게임물 관리 위원회 등급분류 규정에 제 34조 등급분류 결정통보에는 이런 규정이 있습니다.,,,,,게임관리위원회의 2022년 1월 1일 부터 금일 까지의 관련 기록 문건에 대해 귀 위원회의 불편함을 이해하는 와중에도 정중히 정보공개를 요청합니다.,,,,독도 및 울릉도가 속해 있는 바다의 이름을 적어주시면 감사하겠습니다.,,그러므로 본 민원인은 귀 위원회의 이번 일련의 조치에 대한 철회를 요청합니다. 신속한 일처리를 부탁드립니다.
,,,이러한 민원을 적는 이유중 하나인 게임물 관리 위원회 등급분류 규정에 제 34조 등급분류 결정통보에는 이렇게 적혀있는걸 확인했습니다.,,,,,게임관리위원회의 회의록의 시본 혹은 열람(2016년 1월 1일 ~ 2016년 12월 31일 까지)을 요청합니다.,,,,"서브컬쳐 유저들의 민원을 악성민원으로 취급하고 있습니까?
아니라면 왜 민원들의 대한 답변이 모두 동일한지, 답변이 늦는 이유가 무엇인지 알려주시길 바랍니다.",,본 민원인은 이번 게임물관리위원회의 결정에 큰 유감을 표하고 귀 위원회의 결정을 번복하였으면 합니다. 감사합니다.
,,,다음으로 2022년 9월 22일 개정된 게임물관리위원회 등급분류 규정에 따르면 제 34조 등급분류 결정통보에는 이렇게 작성되어 있습니다.,,,,,이에 본 민원인은 게임관리위원회의 2015년 1월 1일 ~ 2015년 12월 31일 까지의 회의록의 사본 또는 열람을 요청합니다,,,,,,"앞으로 이런 일이 반복되면 국내 게임산업의 성장은 크게 정체되고, 개발자들이 누리던 표현의 자유는 크게 침해될 것이라고 봅니다.따라서 개발자들의 표현의 자유를 존중하기 위해서라도, 이번 결정은 취소해야 할 것입니다."
,,,게다가 2022년 9월 22일 개정된 게임물관리위원회 등급분류 규정에 따르면 제 34조 등급분류 결정통보에는 이렇게 작성되어 있는것을 확인했습니다.,,,,,"이에, 게임관리위원회의 2014년 1월 1일~ 2014년 12월 31일의 회의록의 민감한 정보를 삭제처리한 편집본 또는 사본 열람을 요청합니다.",,,,,,게임물관리위원회의 행보에 의문이 느껴지는 점이 많습니다. 부디 상식과 공정이 살아있는 업무처리 부탁드리겠습니다.
,,,게다가 2022년 9월 22일 개정된 게임물관리위원회 등급분류 규정에 따르면 제 34조 등급분류 결정통보에는 이렇게 쓰여 있습니다.,,,,,,,,,,,본 민원인은 최근 귀 위원회의 업무처리에 느끼는 실망감이 큽니다. 저를 포함해 모두가 납득할 수 있는 답변을 기다리겠습니다.
,,,게다가 2022년 9월 22일 개정된 게임물관리위원회 등급분류 규정에 따르면 제 34조 등급분류 결정통보에는 이렇게 쓰여져 있습니다.,,,,,,,,,,,게이머의 편이라던 게임물관리위원회의 포부는 아직 건재하다면 함께 게이머의 편이 되어주시길 바라며 공정한 민원처리를 요청합니다.
,,,또한 게임물관리위원회의 등급분류에 따르면 제 34조 등급분류 결정통보에는 이렇게 규정되어 있습니다.,,,,,,,,,,,현재 게임물관리위원회의 전문성에 대해 의문과 우려를 표하는 목소리가 큽니다. 전문성 있는 답변을 기다리며 민원 마치겠습니다.
,,,또한 게임물관리위원회의 등급분류에 따르면 제 34조 등급분류 결정통보에는 이렇게 쓰여져 있습니다.,,,,,,,,,,,"아울러, 최근 민원 거부에 관한 논란에 대해서도 귀 위원회의 현명한 대처를 기대하며 이만 민원을 마칩니다."
,,,또한 게임물관리위원회의 등급분류에 따르면 제 34조 등급분류 결정통보에는 이렇게 써져 있습니다.,,,,,,,,,,,귀 위원회가 민원을 거부한다는 타 민원인의 의견이 나오고 있습니다. 부디 이번 민원은 성실히 처리해주셨으면 합니다.
,,,또한 게임물관리위원회의 등급분류에 따르면 제 34조 등급분류 결정통보에는 이렇게 작성되어 있는것을 확인했습니다.,,,,,,,,,,,"또한, 앞으로 민원을 거부한다는 이야기가 나오지 않게, 진정성 있는 민원 처리를 부탁합니다."
,,,,,,,,,,,,,,"기업들이 행정부의 일관된 처분을 기대할 수 있도록 하여, 게임산업의 지속적인 발전에 기여하여 주시기 바랍니다."
,,,,,,,,,,,,,,"국민들이 행정부의 일관된 행정을 기대할 수 있도록 하여, 문화여가 권리의 보장에 기여해주시길 촉구합니다."
,,,,,,,,,,,,,,오인에 의한 해당 위원회의 잘못된 판단을 시정할 수 있도록 해주시길 거듭 당부드립니다.
,,,,,,,,,,,,,,해당 위원회의 오판을 지적해주시어 재검토 및 시정될 수 있도록 신경써주시길 부탁드립니다.
,,,,,,,,,,,,,,당 부처가 국민으로부터 받는 신임만큼 강단있고 신실한 행정시정을 당부합니다.
,,,,,,,,,,,,,,"불의에 대한 행정부처의 올바른 자세을 기대할 수 있도록 하여, 국민의 신뢰와 신의에 적극 보답해주시길 바랍니다."
,,,,,,,,,,,,,,"다소 이의가 있을지라도, 귀 위원회의 판단에 대해 이후 과도한 선례가 만들어지지 않도록 하여, 국민을 짓누르는 거대한 국가가 되는것을 지양해주시길 바랍니다."
,,,,,,,,,,,,,,국민의 권익보호에 힘써주시어 항상 감사합니다.
,,,,,,,,,,,,,,국민의 정당한 권리가 행정부의 졸속 행정으로 침해받는 사안에 대해 신실한 업무를 당부드립니다.
,,,,,,,,,,,,,,담당 공무원 혹은 위원장님께선 게관위가 국민의 권리를 침탈하는 정무처라는 오명을 탈피 해주시길 진심으로 바랍니다.
,,,,,,,,,,,,,,비전문가만 임용된 졸속정무처라는 과거로부터의 프레임에서 벗어나 아이들을 위한 건전한 행정업무에 더욱 힘써주시길 염원합니다.
,,,,,,,,,,,,,,국민의 목소리에 귀 기울여 앞으로 비전문적 규제위원회라는 오명을 벗으실 수 있기를 소망합니다.
,,,,,,,,,,,,,,국민과 청소년을 위한 건전한 등급분류에 떳떳한 행정처의 판단을 바랍니다.
